record_id,date,city,item_name,category,veg_nonveg,street_price,app_price,price_gap,app_premium_percent,restaurant_name,platform,rating
1,2024-05-23,Mumbai,Veg Pulao,Rice,Veg,119,167,,,Food Junction,Zomato,4.0
2,2024-05-17,Kolkata,French Fries,Fast Food,Veg,63,79,,,Paradise,Magicpin,3.7
3,2024-11-15,Kolkata,Pizza Slice,Fast Food,Veg,93,126,,,Tasty Corner,Swiggy,3.8
4,2024-04-13,Delhi,Veg Burger,Fast Food,Veg,78,133,,,Spice Hub,Zomato,4.1
5,2024-02-05,Mumbai,Manchurian,Street Food,Veg,88,141,,,Cafe Delight,Magicpin,4.8
6,2024-01-01,Kolkata,Veg Puff,Bakery,Veg,30,38,,,Food Junction,Magicpin,3.9
7,2024-06-01,Delhi,Veg Pulao,Rice,Veg,127,210,,,Food Junction,Magicpin,3.9
8,2024-02-18,Bangalore,Plain Dosa,South Indian,Veg,49,69,,,Food Junction,Magicpin,3.9
9,2024-05-16,Kolkata,Veg Puff,Bakery,Veg,26,39,,,Shah Ghouse,Magicpin,4.4
10,2024-07-27,Delhi,Chicken Burger,Fast Food,Non-Veg,151,234,,,Mehfil,Zomato,4.3
11,2024-09-17,Bangalore,Veg Pulao,Rice,Veg,122,201,,,Food Junction,Zomato,3.6
12,2024-02-22,Kolkata,Plain Dosa,South Indian,Veg,52,73,,,Street Treats,Zomato,3.6
13,2024-05-19,Delhi,Vada,South Indian,Veg,26,34,,,Mehfil,Magicpin,4.7
14,2024-05-09,Delhi,Manchurian,Street Food,Veg,94,118,,,Street Treats,Magicpin,3.9
15,2024-05-16,Bangalore,Vada,South Indian,Veg,31,48,,,Food Junction,Swiggy,3.9
16,2024-06-20,Chennai,Chicken Burger,Fast Food,Non-Veg,143,243,,,Street Treats,Magicpin,4.3
17,2024-09-24,Chennai,Uttapam,South Indian,Veg,64,86,,,Street Treats,Zomato,4.6
18,2024-02-24,Chennai,Fried Rice,Rice,Veg,92,138,,,Paradise,Magicpin,3.9
19,2024-02-24,Chennai,Plain Dosa,South Indian,Veg,48,67,,,Urban Bites,Magicpin,3.8
20,2024-08-05,Hyderabad,Coffee,Beverage,Veg,28,42,,,Spice Hub,Swiggy,4.3
21,2024-03-13,Bangalore,Tea,Beverage,Veg,15,24,,,Paradise,Magicpin,3.9
22,2024-06-03,Delhi,Veg Puff,Bakery,Veg,31,43,,,Tasty Corner,Zomato,3.9
23,2024-11-12,Chennai,Chicken Biryani,Biryani,Non-Veg,211,264,,,Pista House,Magicpin,4.6
24,2024-04-15,Bangalore,French Fries,Fast Food,Veg,66,106,,,Tasty Corner,Zomato,3.7
25,2024-11-11,Delhi,Upma,South Indian,Veg,42,63,,,Urban Bites,Zomato,4.0
26,2024-12-07,Delhi,Paneer Biryani,Biryani,Veg,186,270,,,Mehfil,Magicpin,4.2
27,2024-12-23,Kolkata,Veg Pulao,Rice,Veg,112,179,,,Spice Hub,Swiggy,4.6
28,2024-10-21,Delhi,Sandwich,Fast Food,Veg,70,88,,,Tasty Corner,Swiggy,4.0
29,2024-06-26,Kolkata,Idli,South Indian,Veg,32,38,,,Paradise,Swiggy,4.3
30,2024-09-06,Mumbai,Masala Dosa,South Indian,Veg,77,108,,,Spice Hub,Magicpin,4.6
31,2024-11-27,Bangalore,Uttapam,South Indian,Veg,69,93,,,Spice Hub,Zomato,3.7
32,2024-06-23,Hyderabad,Fried Rice,Rice,Veg,96,139,,,Paradise,Magicpin,4.5
33,2024-11-12,Bangalore,Fried Rice,Rice,Veg,103,165,,,Food Junction,Zomato,4.0
34,2024-05-02,Delhi,Masala Dosa,South Indian,Veg,64,86,,,Shah Ghouse,Swiggy,3.9
35,2024-10-03,Chennai,Grilled Sandwich,Fast Food,Veg,99,124,,,Urban Bites,Swiggy,4.1
36,2024-08-10,Chennai,Masala Dosa,South Indian,Veg,75,112,,,Urban Bites,Zomato,4.0
37,2024-09-13,Bangalore,Coffee,Beverage,Veg,30,39,,,Paradise,Magicpin,4.6
38,2024-06-24,Mumbai,Paneer Biryani,Biryani,Veg,170,238,,,Tasty Corner,Magicpin,4.7
39,2024-08-13,Hyderabad,Momos,Street Food,Veg,80,112,,,Spice Hub,Zomato,3.7
40,2024-08-24,Bangalore,Chicken Fried Rice,Rice,Non-Veg,141,233,,,Food Junction,Magicpin,4.5
41,2024-08-15,Hyderabad,Chicken Fried Rice,Rice,Non-Veg,132,165,,,Mehfil,Swiggy,4.2
42,2024-04-08,Delhi,Vada,South Indian,Veg,30,38,,,Spice Hub,Zomato,4.3
43,2024-01-01,Kolkata,Vada,South Indian,Veg,29,39,,,Food Junction,Magicpin,4.1
44,2024-08-11,Bangalore,French Fries,Fast Food,Veg,79,107,,,Pista House,Swiggy,3.9
45,2024-07-16,Bangalore,Chicken Burger,Fast Food,Non-Veg,141,190,,,Tasty Corner,Magicpin,4.6
46,2024-10-04,Mumbai,Paneer Biryani,Biryani,Veg,172,284,,,Spice Hub,Magicpin,3.6
47,2024-02-01,Hyderabad,Manchurian,Street Food,Veg,78,117,,,Food Junction,Swiggy,3.7
48,2024-03-03,Chennai,Sandwich,Fast Food,Veg,70,91,,,Paradise,Swiggy,3.8
49,2024-06-14,Kolkata,Noodles,Street Food,Veg,74,104,,,Shah Ghouse,Swiggy,4.7
50,2024-05-31,Hyderabad,Veg Biryani,Biryani,Veg,144,180,,,Cafe Delight,Swiggy,4.4
51,2024-09-03,Kolkata,Noodles,Street Food,Veg,84,122,,,Food Junction,Swiggy,3.6
52,2024-09-18,Delhi,Uttapam,South Indian,Veg,73,124,,,Food Junction,Zomato,4.4
53,2024-04-18,Delhi,Upma,South Indian,Veg,40,60,,,Pista House,Magicpin,4.7
54,2024-05-13,Kolkata,Sandwich,Fast Food,Veg,80,128,,,Street Treats,Zomato,4.2
55,2024-03-25,Delhi,Uttapam,South Indian,Veg,67,100,,,Pista House,Swiggy,4.8
56,2024-12-17,Bangalore,Veg Biryani,Biryani,Veg,147,220,,,Shah Ghouse,Magicpin,4.0
57,2024-06-14,Bangalore,Chicken Burger,Fast Food,Non-Veg,128,179,,,Pista House,Magicpin,4.7
58,2024-08-18,Bangalore,Paneer Biryani,Biryani,Veg,172,206,,,Street Treats,Swiggy,4.2
59,2024-03-26,Chennai,Uttapam,South Indian,Veg,85,119,,,Paradise,Magicpin,3.9
60,2024-10-25,Kolkata,Coffee,Beverage,Veg,32,51,,,Paradise,Zomato,3.7
61,2024-04-02,Delhi,Grilled Sandwich,Fast Food,Veg,102,143,,,Urban Bites,Magicpin,3.7
62,2024-07-18,Delhi,Uttapam,South Indian,Veg,76,106,,,Tasty Corner,Swiggy,4.0
63,2024-04-24,Bangalore,Noodles,Street Food,Veg,92,115,,,Food Junction,Zomato,4.0
64,2024-07-06,Bangalore,Chicken Burger,Fast Food,Non-Veg,117,152,,,Cafe Delight,Zomato,4.3
65,2024-08-04,Mumbai,Chicken Burger,Fast Food,Non-Veg,120,180,,,Spice Hub,Zomato,3.7
66,2024-09-26,Bangalore,Tea,Beverage,Veg,13,18,,,Cafe Delight,Swiggy,4.5
67,2024-08-19,Kolkata,Idli,South Indian,Veg,33,54,,,Pista House,Zomato,3.7
68,2024-03-14,Bangalore,Veg Pulao,Rice,Veg,115,167,,,Tasty Corner,Swiggy,3.8
69,2024-01-23,Delhi,Tea,Beverage,Veg,14,18,,,Urban Bites,Zomato,3.9
70,2024-07-21,Bangalore,French Fries,Fast Food,Veg,62,102,,,Paradise,Swiggy,4.0
71,2024-03-28,Hyderabad,French Fries,Fast Food,Veg,64,102,,,Spice Hub,Zomato,3.9
72,2024-02-01,Chennai,Chicken Fried Rice,Rice,Non-Veg,147,228,,,Paradise,Zomato,3.8
73,2024-09-03,Delhi,Coffee,Beverage,Veg,34,58,,,Pista House,Magicpin,3.6
74,2024-06-14,Bangalore,Momos,Street Food,Veg,79,134,,,Spice Hub,Zomato,4.6
75,2024-07-10,Bangalore,Paneer Biryani,Biryani,Veg,193,232,,,Shah Ghouse,Swiggy,4.0
76,2024-01-30,Mumbai,Uttapam,South Indian,Veg,81,134,,,Spice Hub,Zomato,4.3
77,2024-04-17,Kolkata,Manchurian,Street Food,Veg,96,139,,,Paradise,Zomato,4.6
78,2024-03-13,Bangalore,Veg Pulao,Rice,Veg,103,165,,,Street Treats,Magicpin,4.5
79,2024-06-13,Hyderabad,Sandwich,Fast Food,Veg,66,82,,,Tasty Corner,Zomato,4.6
80,2024-09-04,Kolkata,Manchurian,Street Food,Veg,88,141,,,Spice Hub,Swiggy,4.4
81,2024-11-24,Mumbai,Masala Dosa,South Indian,Veg,82,107,,,Paradise,Zomato,3.8
82,2024-12-29,Delhi,Veg Puff,Bakery,Veg,28,48,,,Mehfil,Zomato,4.5
83,2024-02-07,Mumbai,Idli,South Indian,Veg,29,44,,,Cafe Delight,Magicpin,4.2
84,2024-12-07,Chennai,Grilled Sandwich,Fast Food,Veg,89,151,,,Shah Ghouse,Magicpin,3.7
85,2024-04-11,Mumbai,Paneer Biryani,Biryani,Veg,204,275,,,Spice Hub,Zomato,4.7
86,2024-12-22,Delhi,Pani Puri,Street Food,Veg,38,65,,,Pista House,Swiggy,4.1
87,2024-10-23,Kolkata,Chicken Fried Rice,Rice,Non-Veg,144,173,,,Spice Hub,Swiggy,3.6
88,2024-09-27,Delhi,Vada,South Indian,Veg,27,42,,,Pista House,Magicpin,4.5
89,2024-03-12,Kolkata,Grilled Sandwich,Fast Food,Veg,97,160,,,Mehfil,Zomato,4.2
90,2024-07-29,Hyderabad,Veg Puff,Bakery,Veg,25,31,,,Spice Hub,Magicpin,3.8
91,2024-08-27,Bangalore,Momos,Street Food,Veg,72,90,,,Urban Bites,Swiggy,4.3
92,2024-12-02,Mumbai,Chicken Biryani,Biryani,Non-Veg,234,316,,,Tasty Corner,Zomato,4.5
93,2024-05-27,Delhi,Veg Biryani,Biryani,Veg,137,226,,,Food Junction,Magicpin,4.1
94,2024-04-09,Bangalore,Masala Dosa,South Indian,Veg,78,117,,,Tasty Corner,Magicpin,4.8
95,2024-10-11,Bangalore,Chicken Burger,Fast Food,Non-Veg,136,204,,,Street Treats,Magicpin,4.7
96,2024-01-14,Kolkata,Noodles,Street Food,Veg,84,126,,,Food Junction,Magicpin,4.1
97,2024-04-10,Delhi,Veg Puff,Bakery,Veg,32,42,,,Paradise,Zomato,4.0
98,2024-11-19,Hyderabad,Chicken Biryani,Biryani,Non-Veg,187,224,,,Pista House,Zomato,4.7
99,2024-02-10,Chennai,Upma,South Indian,Veg,35,46,,,Urban Bites,Swiggy,3.7
100,2024-08-14,Mumbai,Sandwich,Fast Food,Veg,74,92,,,Mehfil,Zomato,3.9
101,2024-06-20,Mumbai,Chicken Burger,Fast Food,Non-Veg,136,231,,,Mehfil,Zomato,4.6
102,2024-03-06,Bangalore,Manchurian,Street Food,Veg,87,126,,,Urban Bites,Magicpin,4.0
103,2024-05-25,Chennai,Noodles,Street Food,Veg,89,107,,,Paradise,Zomato,3.8
104,2024-03-02,Bangalore,Pizza Slice,Fast Food,Veg,100,150,,,Spice Hub,Zomato,3.8
105,2024-03-19,Kolkata,Fried Rice,Rice,Veg,118,189,,,Street Treats,Swiggy,4.3
106,2024-12-06,Bangalore,Manchurian,Street Food,Veg,82,115,,,Shah Ghouse,Swiggy,3.6
