record_id,date,city,item_name,category,veg_nonveg,street_price,app_price,price_gap,app_premium_percent,restaurant_name,platform,rating,review_count,delivery_time,collection_type
1,2025-08-27,Chennai,Upma,South Indian,Veg,51,74,23,45,Food Junction,Magicpin,4.5,17229,38,Synthetic
2,2025-07-08,Delhi,Masala Dosa,South Indian,Veg,91,147,56,61,Pista House,Zomato,4.2,17476,24,Synthetic
3,2025-11-20,Hyderabad,Masala Dosa,South Indian,Veg,114,240,126,110,Pista House,Swiggy,3.8,8954,21,Synthetic
4,2025-05-06,Bangalore,Chicken Fried Rice,Rice,Non-Veg,172,245,73,43,Spice Hub,Zomato,3.5,9526,59,Synthetic
5,2025-02-25,Hyderabad,Idli,South Indian,Veg,26,57,31,120,Pista House,Zomato,4.6,6354,25,Synthetic
6,2025-06-22,Bangalore,Chicken Biryani,Biryani,Non-Veg,242,354,112,46,Food Junction,Swiggy,4.2,15469,23,Synthetic
7,2025-12-21,Chennai,Manchurian,Street Food,Veg,147,295,148,101,Food Junction,Zomato,3.5,15443,45,Synthetic
8,2025-01-12,Kolkata,Chicken Biryani,Biryani,Non-Veg,341,449,109,32,Street Treats,Magicpin,3.7,11865,33,Synthetic
9,2025-01-06,Kolkata,Chicken Burger,Fast Food,Non-Veg,165,383,218,132,Shah Ghouse,Zomato,4.0,7830,26,Synthetic
10,2025-02-07,Chennai,Chicken Burger,Fast Food,Non-Veg,122,169,47,38,Pista House,Magicpin,4.4,4058,32,Synthetic
11,2025-09-28,Bangalore,Uttapam,South Indian,Veg,70,122,52,74,Pista House,Zomato,4.9,14411,40,Synthetic
12,2025-07-12,Hyderabad,Uttapam,South Indian,Veg,79,97,19,24,Urban Bites,Magicpin,4.2,6344,26,Synthetic
13,2025-12-05,Kolkata,Upma,South Indian,Veg,57,136,80,140,Cafe Delight,Magicpin,3.5,7105,22,Synthetic
14,2025-03-05,Hyderabad,Pizza Slice,Fast Food,Veg,168,406,238,141,Tasty Corner,Swiggy,4.4,8823,37,Synthetic
15,2025-03-21,Chennai,Veg Biryani,Biryani,Veg,124,151,27,22,Spice Hub,Zomato,4.5,17852,44,Synthetic
16,2025-05-21,Kolkata,Fried Rice,Rice,Veg,137,190,53,39,Cafe Delight,Zomato,4.7,1997,42,Synthetic
17,2025-04-26,Delhi,Uttapam,South Indian,Veg,69,124,56,81,Mehfil,Swiggy,4.2,17433,32,Synthetic
18,2025-05-26,Chennai,Masala Dosa,South Indian,Veg,113,232,119,106,Tasty Corner,Magicpin,4.5,15991,48,Synthetic
19,2025-07-01,Kolkata,Vada,South Indian,Veg,48,94,45,94,Food Junction,Magicpin,3.8,787,23,Synthetic
20,2025-04-10,Kolkata,Chicken Burger,Fast Food,Non-Veg,154,202,48,31,Cafe Delight,Zomato,4.3,5258,15,Synthetic
21,2025-03-17,Bangalore,Paneer Biryani,Biryani,Veg,194,274,80,41,Cafe Delight,Swiggy,4.8,12259,23,Synthetic
22,2025-11-29,Bangalore,Noodles,Street Food,Veg,128,243,115,90,Street Treats,Magicpin,3.5,15303,34,Synthetic
23,2025-04-11,Kolkata,Tea,Beverage,Veg,24,52,28,120,Pista House,Zomato,4.7,6134,26,Synthetic
24,2025-07-11,Chennai,Upma,South Indian,Veg,43,85,42,97,Shah Ghouse,Swiggy,4.7,3149,33,Synthetic
25,2025-09-24,Mumbai,Noodles,Street Food,Veg,158,378,220,139,Tasty Corner,Magicpin,4.0,11255,19,Synthetic
26,2025-04-20,Delhi,Tea,Beverage,Veg,22,28,5,23,Food Junction,Magicpin,4.9,14767,36,Synthetic
27,2025-11-16,Bangalore,Momos,Street Food,Veg,79,117,38,48,Paradise,Magicpin,4.8,10458,38,Synthetic
28,2025-04-26,Chennai,Veg Burger,Fast Food,Veg,97,138,41,42,Pista House,Zomato,4.7,19416,51,Synthetic
29,2025-08-06,Mumbai,Vada,South Indian,Veg,34,60,25,73,Street Treats,Swiggy,4.6,8370,46,Synthetic
30,2025-01-01,Delhi,Chicken Biryani,Biryani,Non-Veg,209,441,232,111,Shah Ghouse,Zomato,3.8,3688,33,Synthetic
31,2025-02-22,Chennai,Coffee,Beverage,Veg,39,56,17,43,Food Junction,Magicpin,3.8,664,53,Synthetic
32,2025-04-14,Hyderabad,Momos,Street Food,Veg,109,145,35,32,Mehfil,Magicpin,3.8,881,57,Synthetic
33,2025-06-21,Chennai,Veg Burger,Fast Food,Veg,108,156,48,44,Paradise,Swiggy,4.7,1654,54,Synthetic
34,2025-08-17,Hyderabad,Noodles,Street Food,Veg,85,168,82,97,Mehfil,Magicpin,4.7,5610,32,Synthetic
35,2025-08-05,Chennai,Veg Puff,Bakery,Veg,28,46,19,68,Shah Ghouse,Zomato,4.5,3593,17,Synthetic
36,2025-01-29,Kolkata,Pizza Slice,Fast Food,Veg,114,233,118,103,Urban Bites,Magicpin,4.7,9173,23,Synthetic
37,2025-11-04,Hyderabad,Manchurian,Street Food,Veg,113,197,84,74,Street Treats,Swiggy,4.0,2365,20,Synthetic
38,2025-01-18,Chennai,Manchurian,Street Food,Veg,100,155,55,56,Paradise,Magicpin,4.3,17455,15,Synthetic
39,2025-10-03,Mumbai,Noodles,Street Food,Veg,152,290,138,91,Mehfil,Swiggy,4.9,7730,54,Synthetic
40,2025-03-17,Kolkata,Momos,Street Food,Veg,87,130,43,49,Pista House,Magicpin,4.4,3271,20,Synthetic
41,2025-11-09,Mumbai,Veg Biryani,Biryani,Veg,171,306,134,78,Food Junction,Swiggy,4.5,10483,22,Synthetic
42,2025-06-22,Delhi,Sandwich,Fast Food,Veg,79,112,34,43,Street Treats,Magicpin,4.2,1403,24,Synthetic
43,2025-12-01,Chennai,Momos,Street Food,Veg,125,251,126,101,Spice Hub,Magicpin,3.8,6771,29,Synthetic
44,2025-07-13,Mumbai,Tea,Beverage,Veg,11,14,3,25,Paradise,Swiggy,4.1,1580,36,Synthetic
45,2025-11-26,Delhi,Masala Dosa,South Indian,Veg,68,107,40,59,Tasty Corner,Zomato,4.5,2463,18,Synthetic
46,2025-09-06,Bangalore,Chicken Fried Rice,Rice,Non-Veg,215,450,235,110,Mehfil,Swiggy,4.0,8640,18,Synthetic
47,2025-02-22,Bangalore,Veg Burger,Fast Food,Veg,128,171,43,34,Paradise,Zomato,4.1,5500,45,Synthetic
48,2025-09-10,Kolkata,Manchurian,Street Food,Veg,158,362,204,129,Cafe Delight,Zomato,3.5,15427,35,Synthetic
49,2025-01-17,Bangalore,Veg Pulao,Rice,Veg,99,148,50,50,Cafe Delight,Magicpin,4.0,16821,38,Synthetic
50,2025-05-29,Hyderabad,Sandwich,Fast Food,Veg,77,179,102,133,Shah Ghouse,Swiggy,4.6,11656,31,Synthetic
51,2025-11-13,Mumbai,Paneer Biryani,Biryani,Veg,254,505,250,99,Food Junction,Swiggy,4.0,8653,54,Synthetic
52,2025-02-25,Hyderabad,Chicken Fried Rice,Rice,Non-Veg,166,290,124,74,Pista House,Magicpin,4.9,12776,20,Synthetic
53,2025-04-12,Hyderabad,Veg Puff,Bakery,Veg,35,64,29,84,Mehfil,Zomato,4.7,7992,44,Synthetic
54,2025-10-03,Hyderabad,Sandwich,Fast Food,Veg,116,260,144,124,Tasty Corner,Zomato,3.7,1634,48,Synthetic
55,2025-04-15,Kolkata,Noodles,Street Food,Veg,115,247,132,114,Pista House,Zomato,3.6,2835,19,Synthetic
56,2025-10-08,Bangalore,Grilled Sandwich,Fast Food,Veg,92,128,36,38,Food Junction,Swiggy,4.3,4251,29,Synthetic
57,2025-03-02,Delhi,Plain Dosa,South Indian,Veg,61,79,18,30,Urban Bites,Magicpin,4.9,1006,21,Synthetic
58,2025-04-10,Delhi,Fried Rice,Rice,Veg,101,165,65,64,Food Junction,Zomato,3.7,6633,24,Synthetic
59,2025-06-26,Chennai,Uttapam,South Indian,Veg,79,96,17,22,Shah Ghouse,Magicpin,3.5,867,27,Synthetic
60,2025-02-05,Chennai,Pizza Slice,Fast Food,Veg,86,208,122,142,Spice Hub,Magicpin,4.6,10268,27,Synthetic
61,2025-03-28,Delhi,Manchurian,Street Food,Veg,86,142,56,64,Urban Bites,Zomato,4.5,8164,53,Synthetic
62,2025-01-21,Mumbai,Sandwich,Fast Food,Veg,90,193,103,115,Street Treats,Swiggy,4.8,5104,33,Synthetic
63,2025-12-06,Mumbai,Veg Burger,Fast Food,Veg,65,143,79,121,Paradise,Magicpin,4.9,18270,19,Synthetic
64,2025-07-18,Kolkata,Pizza Slice,Fast Food,Veg,104,216,112,108,Spice Hub,Swiggy,3.7,7018,31,Synthetic
65,2025-12-19,Hyderabad,Upma,South Indian,Veg,46,110,64,139,Urban Bites,Magicpin,4.1,11487,49,Synthetic
66,2025-03-02,Kolkata,Pani Puri,Street Food,Veg,47,96,49,105,Cafe Delight,Zomato,4.2,13671,20,Synthetic
67,2025-03-23,Hyderabad,Momos,Street Food,Veg,105,158,54,51,Tasty Corner,Magicpin,4.1,13518,53,Synthetic
68,2025-04-01,Mumbai,Plain Dosa,South Indian,Veg,32,49,17,52,Shah Ghouse,Magicpin,4.2,19972,44,Synthetic
69,2025-12-08,Chennai,Plain Dosa,South Indian,Veg,46,57,11,23,Tasty Corner,Swiggy,4.7,1997,37,Synthetic
70,2025-02-25,Chennai,Fried Rice,Rice,Veg,108,231,123,113,Paradise,Magicpin,3.6,19471,44,Synthetic
71,2025-11-03,Chennai,Fried Rice,Rice,Veg,129,183,54,42,Paradise,Zomato,4.0,12719,40,Synthetic
72,2025-11-05,Chennai,Veg Biryani,Biryani,Veg,143,190,46,32,Food Junction,Swiggy,4.1,15573,22,Synthetic
73,2025-04-15,Delhi,Plain Dosa,South Indian,Veg,47,72,25,52,Cafe Delight,Magicpin,4.2,17236,23,Synthetic
74,2025-05-28,Chennai,Momos,Street Food,Veg,109,246,137,126,Urban Bites,Zomato,3.7,1091,56,Synthetic
75,2025-02-28,Hyderabad,Tea,Beverage,Veg,25,61,36,146,Food Junction,Swiggy,4.5,3288,56,Synthetic
76,2025-08-13,Bangalore,Grilled Sandwich,Fast Food,Veg,134,202,68,51,Urban Bites,Zomato,3.6,13995,23,Synthetic
77,2025-11-19,Chennai,Plain Dosa,South Indian,Veg,41,83,42,101,Street Treats,Zomato,3.9,4474,54,Synthetic
78,2025-12-03,Kolkata,Noodles,Street Food,Veg,143,204,61,43,Spice Hub,Magicpin,3.7,6638,35,Synthetic
79,2025-11-21,Kolkata,Idli,South Indian,Veg,35,57,23,66,Food Junction,Swiggy,4.2,10252,19,Synthetic
80,2025-12-12,Bangalore,Sandwich,Fast Food,Veg,111,255,144,130,Paradise,Magicpin,4.4,16374,59,Synthetic
81,2025-09-28,Kolkata,Manchurian,Street Food,Veg,142,331,189,134,Spice Hub,Zomato,4.1,14874,51,Synthetic
82,2025-09-18,Chennai,Noodles,Street Food,Veg,124,162,38,30,Shah Ghouse,Swiggy,4.4,1465,35,Synthetic
83,2025-10-21,Bangalore,Masala Dosa,South Indian,Veg,86,104,17,20,Spice Hub,Swiggy,4.5,605,19,Synthetic
84,2025-04-13,Delhi,Plain Dosa,South Indian,Veg,47,100,52,110,Tasty Corner,Magicpin,4.5,1992,45,Synthetic
85,2025-10-23,Hyderabad,Veg Biryani,Biryani,Veg,145,312,167,115,Food Junction,Swiggy,4.8,17867,29,Synthetic
86,2025-02-16,Kolkata,Paneer Biryani,Biryani,Veg,241,452,211,88,Street Treats,Magicpin,4.6,16958,25,Synthetic
87,2025-01-04,Chennai,Paneer Biryani,Biryani,Veg,241,340,99,41,Paradise,Zomato,4.7,7230,44,Synthetic
88,2025-08-31,Hyderabad,Chicken Burger,Fast Food,Non-Veg,220,408,189,86,Shah Ghouse,Swiggy,4.6,17027,40,Synthetic
89,2025-08-16,Kolkata,Uttapam,South Indian,Veg,128,298,170,132,Cafe Delight,Magicpin,4.0,4441,57,Synthetic
90,2025-10-23,Chennai,Pizza Slice,Fast Food,Veg,94,214,120,128,Pista House,Zomato,4.2,18842,35,Synthetic
91,2025-04-25,Bangalore,Sandwich,Fast Food,Veg,116,207,91,78,Street Treats,Magicpin,4.2,10568,58,Synthetic
92,2025-08-23,Mumbai,Chicken Burger,Fast Food,Non-Veg,210,292,82,39,Pista House,Zomato,3.9,3577,48,Synthetic
93,2025-10-17,Mumbai,Pizza Slice,Fast Food,Veg,160,194,33,21,Urban Bites,Magicpin,4.0,4887,49,Synthetic
94,2025-05-07,Chennai,Noodles,Street Food,Veg,118,223,105,89,Mehfil,Swiggy,4.0,324,55,Synthetic
95,2025-05-05,Delhi,Noodles,Street Food,Veg,126,157,31,25,Paradise,Zomato,3.7,15371,29,Synthetic
96,2025-11-05,Hyderabad,Pizza Slice,Fast Food,Veg,157,203,45,29,Pista House,Swiggy,4.5,11476,32,Synthetic
97,2025-08-01,Bangalore,Grilled Sandwich,Fast Food,Veg,132,240,108,82,Tasty Corner,Zomato,4.5,10663,38,Synthetic
98,2025-06-03,Bangalore,Manchurian,Street Food,Veg,153,367,214,140,Paradise,Zomato,4.4,2065,23,Synthetic
99,2025-05-28,Delhi,Manchurian,Street Food,Veg,142,225,83,59,Pista House,Swiggy,4.1,5058,49,Synthetic
100,2025-04-14,Hyderabad,Veg Biryani,Biryani,Veg,170,369,200,118,Shah Ghouse,Swiggy,4.5,15899,18,Synthetic
101,2025-03-14,Mumbai,Chicken Burger,Fast Food,Non-Veg,118,282,164,139,Urban Bites,Swiggy,3.6,4576,23,Synthetic
102,2025-05-06,Bangalore,Grilled Sandwich,Fast Food,Veg,136,163,27,20,Tasty Corner,Zomato,3.6,15509,21,Synthetic
103,2025-05-14,Bangalore,Vada,South Indian,Veg,27,52,25,91,Tasty Corner,Zomato,4.3,6019,59,Synthetic
104,2025-01-26,Hyderabad,Coffee,Beverage,Veg,37,72,34,92,Shah Ghouse,Swiggy,4.8,18479,41,Synthetic
105,2025-07-28,Delhi,Noodles,Street Food,Veg,64,120,57,89,Pista House,Zomato,4.0,15910,15,Synthetic
106,2025-09-07,Chennai,Tea,Beverage,Veg,22,30,7,34,Food Junction,Zomato,4.0,1528,52,Synthetic
107,2025-07-20,Bangalore,Chicken Biryani,Biryani,Non-Veg,312,694,382,122,Spice Hub,Magicpin,3.7,13558,21,Synthetic
108,2025-12-04,Delhi,Momos,Street Food,Veg,132,246,114,87,Pista House,Magicpin,3.7,16969,40,Synthetic
109,2025-03-06,Delhi,Chicken Biryani,Biryani,Non-Veg,212,438,226,107,Pista House,Magicpin,4.3,15208,16,Synthetic
110,2025-12-11,Bangalore,Uttapam,South Indian,Veg,79,94,16,20,Tasty Corner,Magicpin,3.5,5845,19,Synthetic
111,2025-05-22,Hyderabad,Paneer Biryani,Biryani,Veg,158,357,199,126,Urban Bites,Magicpin,3.6,4606,59,Synthetic
112,2025-09-11,Delhi,Plain Dosa,South Indian,Veg,57,105,48,83,Street Treats,Magicpin,4.0,148,30,Synthetic
113,2025-04-14,Bangalore,French Fries,Fast Food,Veg,135,309,174,129,Food Junction,Magicpin,3.8,12307,27,Synthetic
114,2025-06-13,Kolkata,Pani Puri,Street Food,Veg,35,56,20,57,Urban Bites,Swiggy,4.3,17109,39,Synthetic
