record_id,date,city,item_name,category,veg_nonveg,street_price,app_price,price_gap,app_premium_percent,restaurant_name,platform,rating
1,2025-08-27,Chennai,Upma,South Indian,Veg,51,74,23,45,Food Junction,Magicpin,4.5
2,2025-07-08,Delhi,Masala Dosa,South Indian,Veg,91,147,56,61,Pista House,Zomato,4.2
3,2025-11-20,Hyderabad,Masala Dosa,South Indian,Veg,114,240,126,110,Pista House,Swiggy,3.8
4,2025-05-06,Bangalore,Chicken Fried Rice,Rice,Non-Veg,172,245,73,43,Spice Hub,Zomato,3.5
5,2025-02-25,Hyderabad,Idli,South Indian,Veg,26,57,31,120,Pista House,Zomato,4.6
6,2025-06-22,Bangalore,Chicken Biryani,Biryani,Non-Veg,242,354,112,46,Food Junction,Swiggy,4.2
7,2025-12-21,Chennai,Manchurian,Street Food,Veg,147,295,148,101,Food Junction,Zomato,3.5
8,2025-01-12,Kolkata,Chicken Biryani,Biryani,Non-Veg,341,449,109,32,Street Treats,Magicpin,3.7
9,2025-01-06,Kolkata,Chicken Burger,Fast Food,Non-Veg,165,383,218,132,Shah Ghouse,Zomato,4.0
10,2025-02-07,Chennai,Chicken Burger,Fast Food,Non-Veg,122,169,47,38,Pista House,Magicpin,4.4
11,2025-09-28,Bangalore,Uttapam,South Indian,Veg,70,122,52,74,Pista House,Zomato,4.9
12,2025-07-12,Hyderabad,Uttapam,South Indian,Veg,79,97,19,24,Urban Bites,Magicpin,4.2
13,2025-12-05,Kolkata,Upma,South Indian,Veg,57,136,80,140,Cafe Delight,Magicpin,3.5
14,2025-03-05,Hyderabad,Pizza Slice,Fast Food,Veg,168,406,238,141,Tasty Corner,Swiggy,4.4
15,2025-03-21,Chennai,Veg Biryani,Biryani,Veg,124,151,27,22,Spice Hub,Zomato,4.5
16,2025-05-21,Kolkata,Fried Rice,Rice,Veg,137,190,53,39,Cafe Delight,Zomato,4.7
17,2025-04-26,Delhi,Uttapam,South Indian,Veg,69,124,56,81,Mehfil,Swiggy,4.2
18,2025-05-26,Chennai,Masala Dosa,South Indian,Veg,113,232,119,106,Tasty Corner,Magicpin,4.5
19,2025-07-01,Kolkata,Vada,South Indian,Veg,48,94,45,94,Food Junction,Magicpin,3.8
20,2025-04-10,Kolkata,Chicken Burger,Fast Food,Non-Veg,154,202,48,31,Cafe Delight,Zomato,4.3
21,2025-03-17,Bangalore,Paneer Biryani,Biryani,Veg,194,274,80,41,Cafe Delight,Swiggy,4.8
22,2025-11-29,Bangalore,Noodles,Street Food,Veg,128,243,115,90,Street Treats,Magicpin,3.5
23,2025-04-11,Kolkata,Tea,Beverage,Veg,24,52,28,120,Pista House,Zomato,4.7
24,2025-07-11,Chennai,Upma,South Indian,Veg,43,85,42,97,Shah Ghouse,Swiggy,4.7
25,2025-09-24,Mumbai,Noodles,Street Food,Veg,158,378,220,139,Tasty Corner,Magicpin,4.0
26,2025-04-20,Delhi,Tea,Beverage,Veg,22,28,5,23,Food Junction,Magicpin,4.9
27,2025-11-16,Bangalore,Momos,Street Food,Veg,79,117,38,48,Paradise,Magicpin,4.8
28,2025-04-26,Chennai,Veg Burger,Fast Food,Veg,97,138,41,42,Pista House,Zomato,4.7
29,2025-08-06,Mumbai,Vada,South Indian,Veg,34,60,25,73,Street Treats,Swiggy,4.6
30,2025-01-01,Delhi,Chicken Biryani,Biryani,Non-Veg,209,441,232,111,Shah Ghouse,Zomato,3.8
31,2025-02-22,Chennai,Coffee,Beverage,Veg,39,56,17,43,Food Junction,Magicpin,3.8
32,2025-04-14,Hyderabad,Momos,Street Food,Veg,109,145,35,32,Mehfil,Magicpin,3.8
33,2025-06-21,Chennai,Veg Burger,Fast Food,Veg,108,156,48,44,Paradise,Swiggy,4.7
34,2025-08-17,Hyderabad,Noodles,Street Food,Veg,85,168,82,97,Mehfil,Magicpin,4.7
35,2025-08-05,Chennai,Veg Puff,Bakery,Veg,28,46,19,68,Shah Ghouse,Zomato,4.5
36,2025-01-29,Kolkata,Pizza Slice,Fast Food,Veg,114,233,118,103,Urban Bites,Magicpin,4.7
37,2025-11-04,Hyderabad,Manchurian,Street Food,Veg,113,197,84,74,Street Treats,Swiggy,4.0
38,2025-01-18,Chennai,Manchurian,Street Food,Veg,100,155,55,56,Paradise,Magicpin,4.3
39,2025-10-03,Mumbai,Noodles,Street Food,Veg,152,290,138,91,Mehfil,Swiggy,4.9
40,2025-03-17,Kolkata,Momos,Street Food,Veg,87,130,43,49,Pista House,Magicpin,4.4
